chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
0.995, 0.01, 0.66, 2, complexity, 349, 279, 17, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.19543973941368076, 0.11235955056179775, 0.75, 0.37918410041841005
0.995, 0.01, 0.66, 2, chi2_statistic, 349, 279, 17, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.95, 0.01, 0.66, 3, target_accuracy, 349, 337, 37, 0.9656160458452722, 0.8456973293768546, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6545301819024447, 0.8308605341246291, 0.544, 0.5483870967741935, 0.5396825396825397, 0.7187463793303209, 0.8486646884272997, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074614760746149, 0.1572700296735905, 0.25263157894736843, 0.15141955835962145, 0.7619047619047619, 0.3900764685436218
0.95, 0.01, 0.66, 3, complexity, 349, 337, 37, 0.9656160458452722, 0.8456973293768546, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6545301819024447, 0.8308605341246291, 0.544, 0.5483870967741935, 0.5396825396825397, 0.7187463793303209, 0.8486646884272997, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074614760746149, 0.1513353115727003, 0.2393617021276596, 0.14376996805111822, 0.7142857142857143, 0.3680917622523462
0.95, 0.01, 0.66, 3, chi2_statistic, 349, 337, 37, 0.9656160458452722, 0.8456973293768546, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6545301819024447, 0.8308605341246291, 0.544, 0.5483870967741935, 0.5396825396825397, 0.7187463793303209, 0.8486646884272997, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074614760746149, 0.1543026706231454, 0.25196850393700787, 0.1509433962264151, 0.7619047619047619, 0.3882516510253736
0.97, 0.01, 0.66, 3, target_accuracy, 349, 337, 31, 0.9656160458452722, 0.8456973293768546, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6545301819024447, 0.8308605341246291, 0.544, 0.5483870967741935, 0.5396825396825397, 0.7187463793303209, 0.8486646884272997, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074614760746149, 0.16023738872403562, 0.2610966057441253, 0.15625, 0.7936507936507936, 0.4041246668983895
0.97, 0.01, 0.66, 3, complexity, 349, 337, 31, 0.9656160458452722, 0.8456973293768546, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6545301819024447, 0.8308605341246291, 0.544, 0.5483870967741935, 0.5396825396825397, 0.7187463793303209, 0.8486646884272997, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074614760746149, 0.1513353115727003, 0.24736842105263157, 0.14826498422712933, 0.746031746031746, 0.3803151430888657
0.97, 0.01, 0.66, 3, chi2_statistic, 349, 337, 31, 0.9656160458452722, 0.8456973293768546, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6545301819024447, 0.8308605341246291, 0.544, 0.5483870967741935, 0.5396825396825397, 0.7187463793303209, 0.8486646884272997, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074614760746149, 0.1543026706231454, 0.25196850393700787, 0.1509433962264151, 0.7619047619047619, 0.3882516510253736
0.99, 0.01, 0.66, 3, target_accuracy, 349, 283, 19, 0.8108882521489972, 0.8798586572438163, 0.45161290322580644, 0.7, 0.3333333333333333, 0.6542185338865836, 0.8692579505300353, 0.5316455696202531, 0.5675675675675675, 0.5, 0.716804979253112, 0.8869257950530035, 0.4074074074074074, 0.9166666666666666, 0.2619047619047619, 0.6288776921557004, 0.11307420494699646, 0.19808306709265175, 0.11439114391143912, 0.7380952380952381, 0.37112230784429956
0.99, 0.01, 0.66, 3, complexity, 349, 283, 19, 0.8108882521489972, 0.8798586572438163, 0.45161290322580644, 0.7, 0.3333333333333333, 0.6542185338865836, 0.8692579505300353, 0.5316455696202531, 0.5675675675675675, 0.5, 0.716804979253112, 0.8869257950530035, 0.4074074074074074, 0.9166666666666666, 0.2619047619047619, 0.6288776921557004, 0.10954063604240283, 0.19230769230769232, 0.1111111111111111, 0.7142857142857143, 0.35921754593953764
0.99, 0.01, 0.66, 3, chi2_statistic, 349, 283, 19, 0.8108882521489972, 0.8798586572438163, 0.45161290322580644, 0.7, 0.3333333333333333, 0.6542185338865836, 0.8692579505300353, 0.5316455696202531, 0.5675675675675675, 0.5, 0.716804979253112, 0.8869257950530035, 0.4074074074074074, 0.9166666666666666, 0.2619047619047619, 0.6288776921557004, 0.11307420494699646, 0.19808306709265175, 0.11439114391143912, 0.7380952380952381, 0.37112230784429956
0.995, 0.01, 0.66, 3, target_accuracy, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.995, 0.01, 0.66, 3, complexity, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.995, 0.01, 0.66, 3, chi2_statistic, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.95, 0.01, 0.66, 5, target_accuracy, 349, 335, 26, 0.9598853868194842, 0.844776119402985, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6543825863678805, 0.8328358208955224, 0.5483870967741935, 0.5573770491803278, 0.5396825396825397, 0.7202089169000934, 0.8477611940298507, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074346405228759, 0.16119402985074627, 0.26246719160104987, 0.15723270440251572, 0.7936507936507936, 0.40417833800186737
0.95, 0.01, 0.66, 5, complexity, 349, 335, 26, 0.9598853868194842, 0.844776119402985, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6543825863678805, 0.8328358208955224, 0.5483870967741935, 0.5573770491803278, 0.5396825396825397, 0.7202089169000934, 0.8477611940298507, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074346405228759, 0.15522388059701492, 0.2532981530343008, 0.1518987341772152, 0.7619047619047619, 0.3883053221288515
0.95, 0.01, 0.66, 5, chi2_statistic, 349, 335, 26, 0.9598853868194842, 0.844776119402985, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6543825863678805, 0.8328358208955224, 0.5483870967741935, 0.5573770491803278, 0.5396825396825397, 0.7202089169000934, 0.8477611940298507, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074346405228759, 0.15522388059701492, 0.2532981530343008, 0.1518987341772152, 0.7619047619047619, 0.3883053221288515
0.97, 0.01, 0.66, 5, target_accuracy, 349, 335, 26, 0.9598853868194842, 0.844776119402985, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6543825863678805, 0.8328358208955224, 0.5483870967741935, 0.5573770491803278, 0.5396825396825397, 0.7202089169000934, 0.8477611940298507, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074346405228759, 0.16119402985074627, 0.26246719160104987, 0.15723270440251572, 0.7936507936507936, 0.40417833800186737
0.97, 0.01, 0.66, 5, complexity, 349, 335, 26, 0.9598853868194842, 0.844776119402985, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6543825863678805, 0.8328358208955224, 0.5483870967741935, 0.5573770491803278, 0.5396825396825397, 0.7202089169000934, 0.8477611940298507, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074346405228759, 0.15522388059701492, 0.2532981530343008, 0.1518987341772152, 0.7619047619047619, 0.3883053221288515
0.97, 0.01, 0.66, 5, chi2_statistic, 349, 335, 26, 0.9598853868194842, 0.844776119402985, 0.4583333333333333, 0.6666666666666666, 0.3492063492063492, 0.6543825863678805, 0.8328358208955224, 0.5483870967741935, 0.5573770491803278, 0.5396825396825397, 0.7202089169000934, 0.8477611940298507, 0.3544303797468354, 0.875, 0.2222222222222222, 0.6074346405228759, 0.15522388059701492, 0.2532981530343008, 0.1518987341772152, 0.7619047619047619, 0.3883053221288515
0.99, 0.01, 0.66, 5, target_accuracy, 349, 283, 17, 0.8108882521489972, 0.8798586572438163, 0.45161290322580644, 0.7, 0.3333333333333333, 0.6542185338865836, 0.8692579505300353, 0.5316455696202531, 0.5675675675675675, 0.5, 0.716804979253112, 0.8869257950530035, 0.4074074074074074, 0.9166666666666666, 0.2619047619047619, 0.6288776921557004, 0.11307420494699646, 0.19808306709265175, 0.11439114391143912, 0.7380952380952381, 0.37112230784429956
0.99, 0.01, 0.66, 5, complexity, 349, 283, 17, 0.8108882521489972, 0.8798586572438163, 0.45161290322580644, 0.7, 0.3333333333333333, 0.6542185338865836, 0.8692579505300353, 0.5316455696202531, 0.5675675675675675, 0.5, 0.716804979253112, 0.8869257950530035, 0.4074074074074074, 0.9166666666666666, 0.2619047619047619, 0.6288776921557004, 0.11307420494699646, 0.19808306709265175, 0.11439114391143912, 0.7380952380952381, 0.37112230784429956
0.99, 0.01, 0.66, 5, chi2_statistic, 349, 283, 17, 0.8108882521489972, 0.8798586572438163, 0.45161290322580644, 0.7, 0.3333333333333333, 0.6542185338865836, 0.8692579505300353, 0.5316455696202531, 0.5675675675675675, 0.5, 0.716804979253112, 0.8869257950530035, 0.4074074074074074, 0.9166666666666666, 0.2619047619047619, 0.6288776921557004, 0.11307420494699646, 0.19808306709265175, 0.11439114391143912, 0.7380952380952381, 0.37112230784429956
0.995, 0.01, 0.66, 5, target_accuracy, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.995, 0.01, 0.66, 5, complexity, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.995, 0.01, 0.66, 5, chi2_statistic, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.95, 0.01, 0.66, 7, target_accuracy, 349, 333, 22, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.95, 0.01, 0.66, 7, complexity, 349, 333, 22, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.95, 0.01, 0.66, 7, chi2_statistic, 349, 333, 22, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.97, 0.01, 0.66, 7, target_accuracy, 349, 333, 22, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.97, 0.01, 0.66, 7, complexity, 349, 333, 22, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.97, 0.01, 0.66, 7, chi2_statistic, 349, 333, 22, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.99, 0.01, 0.66, 7, target_accuracy, 349, 279, 15, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.99, 0.01, 0.66, 7, complexity, 349, 279, 15, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.99, 0.01, 0.66, 7, chi2_statistic, 349, 279, 15, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.995, 0.01, 0.66, 7, target_accuracy, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.995, 0.01, 0.66, 7, complexity, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.995, 0.01, 0.66, 7, chi2_statistic, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.95, 0.01, 0.66, 9, target_accuracy, 349, 333, 20, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.95, 0.01, 0.66, 9, complexity, 349, 333, 20, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.95, 0.01, 0.66, 9, chi2_statistic, 349, 333, 20, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.97, 0.01, 0.66, 9, target_accuracy, 349, 333, 20, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.97, 0.01, 0.66, 9, complexity, 349, 333, 20, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.97, 0.01, 0.66, 9, chi2_statistic, 349, 333, 20, 0.9541547277936963, 0.8498498498498499, 0.4680851063829787, 0.6875, 0.3548387096774194, 0.6589691703368648, 0.8378378378378378, 0.5573770491803278, 0.5666666666666667, 0.5483870967741935, 0.7262230686822997, 0.8498498498498499, 0.358974358974359, 0.875, 0.22580645161290322, 0.6092131889060826, 0.15915915915915915, 0.2631578947368421, 0.15723270440251572, 0.8064516129032258, 0.40876086180216636
0.99, 0.01, 0.66, 9, target_accuracy, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.99, 0.01, 0.66, 9, complexity, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.99, 0.01, 0.66, 9, chi2_statistic, 349, 279, 13, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
0.995, 0.01, 0.66, 9, target_accuracy, 349, 279, 11, 0.7994269340974212, 0.8817204301075269, 0.4406779661016949, 0.6842105263157895, 0.325, 0.6499476987447699, 0.8673835125448028, 0.5066666666666667, 0.5428571428571428, 0.475, 0.7040271966527197, 0.8924731182795699, 0.4230769230769231, 0.9166666666666666, 0.275, 0.635407949790795, 0.11469534050179211, 0.2006472491909385, 0.11524163568773234, 0.775, 0.389592050209205
